Region,County,Gender,Age,Grade,Disability,Residence,SchoolType
Rift Valley,Bomet,Male,8,One,Hearing,Urban,Special
North Eastern,Nyandarua,Male,10,Two,Visual,Urban,Special
North Eastern,Murang'a,Female,6,One,Visual,Urban,Special
Coast,Migori,Female,9,Three,Physical,Rural,Special
Coast,Isiolo,Female,6,One,Physical,Rural,Special
Coast,West Pokot,Male,10,Three,Physical,Rural,Special
Central,Migori,Female,8,One,Physical,Rural,Special
Nyanza,Nakuru,Male,8,One,Physical,Urban,Special
Eastern,Kwale,Male,8,One,Physical,Urban,Special
Coast,Turkana,Male,7,One,Physical,Rural,Special
Eastern,Makueni,Male,6,Two,Physical,Urban,Special
Rift Valley,Kisii,Female,9,One,Physical,Urban,Integrated
North Eastern,Kisii,Male,7,Two,Physical,Urban,Regular
Rift Valley,Uasin Gishu,Female,10,Two,Physical,Urban,Regular
Rift Valley,Narok,Male,7,Two,Physical,Rural,Regular
Central,Homa Bay,Male,6,One,Physical,Urban,Integrated
Coast,Kiambu,Male,6,Two,Physical,Urban,Integrated
Coast,Murang'a,Male,9,Two,Physical,Rural,Regular
Nairobi,Baringo,Male,6,One,Hearing,Urban,Regular
Central,Lamu,Female,7,Two,Physical,Rural,Regular
Western,Kericho,Female,7,One,Physical,Urban,Integrated
Nairobi,Turkana,Male,8,Two,Visual,Rural,Regular
Rift Valley,Samburu,Male,10,Two,Physical,Urban,Regular
Coast,Migori,Female,9,Three,Physical,Rural,Integrated
Central,Nyandarua,Female,8,Two,Physical,Urban,Integrated
Western,Bungoma,Male,8,Three,Visual,Urban,Special
Rift Valley,Kwale,Female,7,Two,Hearing,Rural,Integrated
North Eastern,Wajir,Female,8,One,Hearing,Urban,Integrated
Western,Kajiado,Female,10,Three,Visual,Urban,Regular
Western,Narok,Male,10,One,Physical,Rural,Regular
Nyanza,Kiambu,Male,7,Two,Physical,Rural,Regular
North Eastern,Siaya,Male,8,Three,Visual,Rural,Integrated
Nyanza,Kisumu,Male,10,One,Visual,Urban,Integrated
North Eastern,Uasin Gishu,Male,9,Two,Autism,Urban,Integrated
Western,Kwale,Female,5,Pre-School,Physical,Rural,Regular
North Eastern,Nakuru,Female,8,One,Hearing,Rural,Integrated
North Eastern,Kajiado,Male,5,Pre-School,Physical,Urban,Integrated
Coast,Kajiado,Female,5,Pre-School,Visual,Urban,Integrated
Nyanza,Garissa,Female,6,Two,Physical,Urban,Integrated
North Eastern,Turkana,Female,9,Two,Visual,Urban,Integrated
Central,Mombasa,Male,9,One,Visual,Rural,Integrated
Rift Valley,Nyamira,Male,8,Two,Visual,Rural,Integrated
Rift Valley,Garissa,Male,10,Three,Autism,Rural,Special
Rift Valley,Murang'a,Female,6,Three,Hearing,Rural,Integrated
Eastern,Kajiado,Female,7,Two,Physical,Urban,Integrated
Western,Kwale,Male,5,Pre-School,Visual,Urban,Integrated
Rift Valley,Nyeri,Female,5,Pre-School,Hearing,Urban,Regular
Rift Valley,Kisii,Male,5,Pre-School,Hearing,Urban,Integrated
Nairobi,Mombasa,Female,8,Two,Physical,Urban,Integrated
Western,Kisii,Male,8,One,Physical,Urban,Regular
Rift Valley,Nyandarua,Male,9,One,Hearing,Urban,Integrated
Western,Embu,Male,10,Three,Visual,Urban,Special
Nairobi,West Pokot,Female,10,One,Physical,Urban,Integrated
Coast,Nakuru,Female,8,One,Hearing,Urban,Regular
Nyanza,Homa Bay,Male,10,Two,Physical,Rural,Integrated
Rift Valley,Tana River,Male,10,Three,Visual,Rural,Integrated
North Eastern,Kajiado,Male,7,Three,Hearing,Rural,Regular
Nairobi,Narok,Male,5,Pre-School,Hearing,Rural,Regular
Western,Nyamira,Female,10,Three,Physical,Rural,Regular
Coast,Kitui,Female,5,Pre-School,Visual,Rural,Regular
Nyanza,Embu,Male,7,Two,Visual,Urban,Special
Central,Uasin Gishu,Male,5,Pre-School,Hearing,Urban,Regular
Western,Laikipia,Female,7,One,Visual,Rural,Special
Nairobi,Nairobi,Male,10,Two,Visual,Urban,Integrated
Nairobi,Kilifi,Female,9,Three,Visual,Urban,Integrated
Nairobi,Makueni,Male,10,One,Physical,Urban,Regular
Coast,Kilifi,Male,8,One,Visual,Urban,Integrated
Central,Nyeri,Male,7,One,Visual,Urban,Integrated
Coast,Kitui,Female,7,Three,Visual,Urban,Regular
Central,Tana River,Female,8,One,Visual,Urban,Integrated
Nairobi,Vihiga,Male,9,One,Physical,Urban,Integrated
Nairobi,Murang'a,Male,9,One,Hearing,Urban,Regular
Central,Turkana,Male,10,One,Visual,Urban,Regular
Eastern,Tana River,Male,9,Two,Visual,Urban,Integrated
Central,Nandi,Female,10,Two,Visual,Urban,Regular
Western,Baringo,Female,8,One,Hearing,Urban,Integrated
Nairobi,Machakos,Female,6,Two,Hearing,Rural,Regular
Nyanza,Lamu,Female,9,Two,Physical,Urban,Integrated
Coast,Homa Bay,Male,5,Pre-School,Physical,Urban,Integrated
North Eastern,Garissa,Female,8,Three,Physical,Urban,Regular
Nairobi,Kisii,Male,8,Two,Visual,Rural,Integrated
Eastern,Murang'a,Female,10,One,Hearing,Urban,Integrated
Rift Valley,Kisii,Male,5,Pre-School,Visual,Rural,Regular
Nairobi,Nairobi,Female,8,Two,Physical,Urban,Integrated
Eastern,Bungoma,Male,7,One,Physical,Urban,Special
Rift Valley,Siaya,Female,5,Pre-School,Autism,Urban,Regular
Nyanza,Marsabit,Male,9,One,Physical,Rural,Integrated
Rift Valley,Nyeri,Female,5,Pre-School,Hearing,Urban,Regular
North Eastern,Kirinyaga,Female,6,One,Hearing,Urban,Integrated
Western,Samburu,Male,8,One,Autism,Rural,Integrated
North Eastern,Busia,Female,5,Pre-School,Hearing,Rural,Special
Nyanza,Nyamira,Male,10,One,Physical,Urban,Regular
North Eastern,Kericho,Male,6,One,Visual,Urban,Special
Eastern,Homa Bay,Female,10,One,Visual,Urban,Integrated
Eastern,Mandera,Male,7,One,Hearing,Urban,Regular
Central,Kajiado,Male,10,Three,Visual,Rural,Special
Nairobi,Uasin Gishu,Male,8,One,Physical,Urban,Regular
Western,Makueni,Female,5,Pre-School,Physical,Urban,Integrated
Western,Kwale,Female,9,Two,Physical,Urban,Integrated
Central,Nyeri,Male,10,One,Physical,Urban,Integrated
Eastern,Taita Taveta,Male,8,Three,Physical,Rural,Regular
Coast,Murang'a,Male,10,Two,Physical,Urban,Integrated
Coast,Siaya,Male,6,Two,Physical,Urban,Integrated
Nairobi,Kisumu,Female,5,Pre-School,Physical,Urban,Integrated
Nairobi,Kakamega,Female,8,Three,Physical,Urban,Regular
Central,Makueni,Male,8,One,Physical,Urban,Regular
Nairobi,Lamu,Female,5,Pre-School,Physical,Urban,Regular
North Eastern,Garissa,Female,5,Pre-School,Physical,Urban,Integrated
Nairobi,Isiolo,Male,8,Two,Physical,Urban,Regular
Central,West Pokot,Male,7,Two,Hearing,Urban,Regular
Nairobi,Tharaka Nithi,Male,6,One,Hearing,Urban,Regular
Coast,Marsabit,Female,5,Pre-School,Physical,Urban,Special
Rift Valley,Elgeyo Marakwet,Female,6,One,Hearing,Urban,Regular
Central,Turkana,Female,9,Three,Visual,Urban,Special
Nairobi,Machakos,Male,7,Two,Hearing,Rural,Integrated
Western,Laikipia,Female,10,One,Hearing,Urban,Integrated
Western,Baringo,Female,6,Two,Hearing,Urban,Regular
Central,Kwale,Male,8,Three,Hearing,Urban,Special
Rift Valley,Kirinyaga,Male,8,One,Visual,Urban,Integrated
Eastern,Nakuru,Male,7,One,Physical,Urban,Integrated
Rift Valley,Migori,Male,5,Pre-School,Autism,Urban,Integrated
Central,Turkana,Female,6,Two,Hearing,Urban,Special
North Eastern,Isiolo,Male,7,Two,Hearing,Urban,Integrated
Nairobi,Machakos,Female,8,One,Autism,Urban,Integrated
Nairobi,Taita Taveta,Female,6,One,Physical,Urban,Integrated
Nyanza,Kiambu,Female,10,Two,Hearing,Urban,Regular
Nyanza,Kakamega,Female,9,Three,Physical,Urban,Integrated
Coast,Nairobi,Female,9,Three,Physical,Rural,Regular
